date_received,queue_name,agent_number,answered,consult,transfer,hangup,call_type
2014-03-01 10:53:32,30172,8077.0,2014-03-01 10:53:33,NULL,NULL,2014-03-01 10:56:20,2
2014-03-01 10:53:36,30179,8077.0,2014-03-01 10:56:25,NULL,NULL,2014-03-01 11:00:12,9
2014-03-01 10:54:29,30560,6971.0,2014-03-01 10:56:50,NULL,NULL,2014-03-01 11:00:45,20
2014-03-01 10:55:06,30172,7531.0,2014-03-01 10:57:06,NULL,NULL,2014-03-01 11:01:15,2
2014-03-01 10:57:34,30175,8496.0,2014-03-01 10:59:38,NULL,NULL,2014-03-01 11:03:05,5
2014-03-01 10:57:48,30172,7819.0,2014-03-01 11:00:05,NULL,NULL,2014-03-01 11:01:04,2
2014-03-01 11:00:14,30175,8077.0,2014-03-01 11:00:15,2014-03-01 11:02:00,2014-03-01 11:02:48,2014-03-01 11:05:31,5
2014-03-01 11:01:55,30175,6971.0,2014-03-01 11:01:56,NULL,NULL,2014-03-01 11:07:39,5
2014-03-01 11:04:12,30172,7819.0,2014-03-01 11:04:13,2014-03-01 11:05:01,2014-03-01 11:05:50,2014-03-01 11:16:24,2
2014-03-01 11:04:21,30175,8077.0,2014-03-01 11:04:22,NULL,NULL,2014-03-01 11:06:12,5
2014-03-01 11:05:21,30560,8496.0,2014-03-01 11:05:22,NULL,NULL,2014-03-01 11:07:08,20
2014-03-01 11:06:56,30179,7531.0,2014-03-01 11:06:57,NULL,NULL,2014-03-01 11:11:30,9
2014-03-01 11:09:41,30066,8077.0,2014-03-01 11:09:42,NULL,NULL,2014-03-01 11:15:07,0
2014-03-01 11:14:14,30560,8496.0,2014-03-01 11:14:15,NULL,NULL,2014-03-01 11:24:59,20
2014-03-01 11:15:57,30560,7819.0,2014-03-01 11:15:58,NULL,NULL,2014-03-01 11:23:18,20
2014-03-01 11:16:58,30066,6971.0,2014-03-01 11:17:50,NULL,NULL,2014-03-01 11:20:14,0
2014-03-01 11:17:08,30175,6971.0,2014-03-01 11:20:20,2014-03-01 11:21:26,2014-03-01 11:22:00,2014-03-01 11:23:45,5
2014-03-01 11:17:25,30179,NULL,NULL,NULL,NULL,2014-03-01 11:17:27,9
2014-03-01 11:19:38,30179,7531.0,2014-03-01 11:20:55,NULL,NULL,2014-03-01 11:30:01,9
2014-03-01 11:20:52,30172,6971.0,2014-03-01 11:22:05,NULL,NULL,2014-03-01 11:24:39,2
2014-03-01 11:22:40,30179,8077.0,2014-03-01 11:22:41,NULL,NULL,2014-03-01 11:22:50,9
2014-03-01 11:24:04,30179,8077.0,2014-03-01 11:24:05,NULL,NULL,2014-03-01 11:24:52,9
2014-03-01 11:24:41,30172,7819.0,2014-03-01 11:24:42,NULL,NULL,2014-03-01 11:26:59,2
2014-03-01 11:25:21,30175,6971.0,2014-03-01 11:25:22,NULL,NULL,2014-03-01 11:27:39,5
